Crop,Soil_N,Soil_P,Soil_K,Soil_pH,Rainfall,Temperature,soil_moisture,Yield_tph,X1003,X1013,X1023,X1033,X1044,X1054,X1064,X1074,X1084,X1094,X1175,X1185,X1195,X1205,X1215,X1225,X1235,X1245,X1255,X1266,X1276,X1286,X1296,X1306,X1316,X1518,X1528,X1538,X1548,X1558,X1568,X1578,X1588,X1599,X1609,X1619,X1629,X1639,X1649,X1659,X1669,X1679,X1689,X1699,X1710,X1720,X1730,X1740,X1750,X1760,X2063,X2073,X2083,X2093,X2103,X2113,X2123,X2133,X2143,X2153,X2163,X2174,X2184,X2194,X2204,X2214,X2224,X2234,X2244,X2254,X2264,X2274,X2285,X2295,X2305,X2315,X2325,X2335,X2345,X437,X447,X457,X468,X478,X488,X498,X508,X518,X529,X539,X549,X559,X569,X579,X590,X600,X610,X620,X630,X641,X651,X661,X671,X681,X691,X702,X712,X722,X732,X742,X752,X763,X773,X783,X793,X803,X813,X824,X834,X844,X854,X864,X875,X885,X895,X905,X912,X915,X923,X983,X993
corn,70.28712041750713,5.0,282.52253854033944,6.031613024856784,157.3721992855635,27.84867062671045,49.67931518760119,6.559247047687039,30.54009726,32.35274004,33.92189832,35.23541626,35.96613939,36.83693104,36.80885063,37.35020231,35.94449839,34.23438011,28.89162782,29.23490993,29.87805064,30.60145507,31.98575604,33.21778557,33.28977367,32.96777454,31.46957207,30.66038008,31.14175734,32.61883522,31.76227438,29.35631588,25.46530701,13.53703416,14.7616642,15.76396914,16.64006278,17.07540351,17.22885018,17.66432195,18.02636374,18.78951996,19.23934704,20.31113153,20.90774999,21.4377303,21.70579292,21.83805856,21.66611357,21.01541213,20.73897848,20.71958876,20.59288666,19.97095167,19.18143135,18.56518055,17.55689614,16.22308135,6.474856718,7.219653383,7.622257547,8.15372077,8.737630558,9.225746987,8.065455578,8.808566704,9.54406917,10.68424161,9.844003843,9.705159967,10.07750866,10.29561805,10.0277985,10.56621172,10.97421432,10.4866145,9.161629498,8.432855498,8.438398032,8.58530135,8.164735115,7.882625411,7.380592108,7.327903877,6.881876069,6.616288078,6.346633777,17.72402206,16.10569587,15.02452277,14.71592083,14.4415027,14.16652704,13.83013179,13.70820681,13.91282261,14.21442613,14.72549823,15.04236379,14.9299665,14.34409997,13.96477632,13.46016917,13.30639576,12.70321408,12.34276297,11.9724478,11.84969001,11.47957604,11.17844876,10.77110028,10.78673873,11.47809428,13.36020756,15.73979202,19.654031,23.48059419,26.72645633,28.2478929,29.18680623,30.592943,31.59308929,32.26529245,31.71033851,31.16928169,31.28641456,32.75442612,34.59443126,35.89072361,36.90537364,36.98281357,36.55777878,33.98122781,34.21991922,32.76751471,32.82125161,31.20034606,27.75891462,29.17754883
corn,73.84927830859642,200.0,316.0369249398625,6.13831547993772,173.8237298829832,28.542411790005,49.01050986156939,7.048194106602113,35.87114021,37.36296824,38.72822182,40.11814678,40.72327899,41.48681342,41.55919303,42.2309196,41.14583526,39.2811989,31.64731605,31.79599486,32.11356876,33.04477168,34.82283953,36.41881421,36.21680217,35.7569574,33.86267845,33.47235793,33.80312406,35.52763413,34.08513163,31.39498448,27.18193349,13.70260466,15.1894557,16.02306083,16.77066945,17.25774153,17.65212155,18.15315221,18.64644517,19.36297232,19.97016194,20.85252272,21.19437309,21.36445009,21.7636969,22.32952133,22.237263,21.58306597,21.07236092,21.13685518,20.69968641,20.02380726,19.11745359,18.67228472,17.75701882,16.46123779,6.086253638,6.644688631,7.023976365,7.290482395,7.556406631,8.342427318,11.87151477,13.13769102,13.47084542,10.82641359,10.76815225,11.07655614,10.93354136,10.68553646,10.54174165,11.00457896,11.23138328,10.40610386,9.16367707,8.682514734,8.942594737,9.179517487,8.744633247,8.510454413,8.090402599,7.894839021,7.263032851,6.536648661,5.66329056,17.85046271,15.99908075,15.01346628,14.78290071,14.5012595,14.25770638,13.96676936,13.92125613,14.17818522,14.57125624,15.21031261,15.70513351,15.6374476,14.99656236,14.45490939,13.96997778,13.82729467,13.27377256,12.88706921,12.54430021,12.41690676,12.00103112,11.54037675,11.05294853,11.04310721,11.96414545,14.41766519,17.51635914,22.52587815,27.16158163,31.17648065,32.97643592,34.35107455,36.10535989,37.43571694,38.20537088,37.52821661,36.90933751,37.05448571,38.70936461,40.82712869,42.52751601,43.88984334,44.07294203,43.10236235,40.07651849,41.54577421,40.68667155,42.21452567,38.53640223,32.53007922,34.56818361
corn,92.10893759997153,200.0,400.0,6.170813979019485,204.0407123127908,25.249576482111163,57.426302590345486,12.225761209149187,43.91609077,45.51739702,47.2557414,48.97098373,50.70927896,51.83304105,52.64546748,53.03101754,51.17214338,47.85373723,36.05033277,36.3306804,36.67776678,37.35750706,38.74678256,40.35624003,40.48344092,39.7666318,37.64758932,36.79991905,37.43855138,39.16556083,37.71884703,34.31688499,29.34307812,10.48638131,12.00883318,13.44188528,14.82346999,15.09913876,15.29540268,15.61289826,16.38881352,17.21601073,18.18793464,19.10577175,19.46179984,19.56279434,19.82817703,20.40301799,20.37476982,20.02472921,19.38870177,19.17229083,18.86646496,18.49043265,17.76247779,16.84088201,15.98353996,15.03007385,4.364317624,4.947155861,4.985925529,5.49243332,6.353589225,6.862576902,6.969873607,7.522099002,8.100123383,8.311885082,8.146080273,8.242215219,8.50297619,8.532054921,8.623248626,8.683539383,8.682489076,8.175434345,7.605273394,6.841276199,6.27624022,6.150597396,6.114164457,5.93403334,5.11630287,4.833204749,4.817731581,4.652525279,3.790455546,17.56614383,15.8447053,14.90348506,14.90651369,14.67383539,14.29717797,13.87296912,13.69940252,13.89406853,14.16682255,14.79484232,15.23530287,15.16167088,14.39364266,13.65201968,12.90243833,12.50785521,11.83380292,11.38693516,10.91628856,10.66207469,10.1963235,9.815285789,9.402090381,9.371995033,9.722937405,11.91074038,15.20229948,21.45557732,29.04468482,37.80438756,44.47096345,47.26869882,49.88197791,51.50477839,53.79305502,53.45935259,51.80344247,50.78813331,51.47187159,54.20796612,56.81540348,58.6111453,58.86680839,58.99893158,54.61509999,54.12777396,51.0745763,51.77026358,48.7088539,38.9805211,41.88686015
corn,76.0559622852681,5.0,375.3780120894283,6.025412988401666,216.6196279358308,31.74979349610365,56.81210597674123,9.114669964922893,34.64888364,36.43133689,37.57531521,38.534267,39.20408643,40.07620702,40.67066294,41.16665351,40.22106962,38.12679077,29.6345718,29.91086602,30.50936443,31.20856239,32.796366,34.11676419,34.20448962,33.76862857,32.24740347,31.50609447,31.55623175,32.871396,31.75578891,29.35244798,25.35925556,10.99335397,11.97225778,12.65173651,13.45479386,14.07446705,14.48839254,14.81919881,15.47192028,16.22949497,17.15509779,18.04529852,18.31767845,18.46441377,18.47002713,19.01240911,18.96811838,18.8457035,18.39554738,18.0953256,17.67358241,17.04874191,16.52997417,15.89227599,15.23383732,14.10493915,3.509714438,4.335492991,5.155162007,5.948871548,6.718383488,7.090331388,7.337640389,8.166366254,9.014129494,8.550801494,7.464878131,7.685733487,8.792200721,9.261611237,8.511189772,8.299355142,8.584792986,8.225172826,7.38414182,6.679966943,6.53477927,6.430437768,6.080464901,6.201545432,6.291306902,6.922907964,6.943875922,6.461839276,5.696438798,17.50976201,15.82578873,14.86319844,14.75954409,14.41168198,14.14744251,13.9096759,13.8312268,14.12546816,14.54558039,15.30594611,15.79514914,15.72062957,15.04391108,14.54913383,13.83634147,13.52309771,12.81837511,12.46481853,12.06556063,11.75102629,11.17029321,10.56829985,10.01289987,9.970603197,10.83456434,13.55229051,17.09627626,22.74046051,28.10344828,32.75912135,35.01130246,36.17907582,37.86992604,39.16349997,39.99612859,39.23210239,38.18702085,38.03089501,39.25823117,41.22105938,42.7217702,43.84153008,43.72940953,42.79402993,39.61456862,40.43187654,38.08613322,38.76793684,33.50484595,32.47531294,33.71481258
rice,94.8570027681532,5.0,400.0,6.406290780229365,195.28612952710236,29.05499599960088,50.68672081995057,13.200129734471805,37.6640391,38.98687128,40.37849771,41.74314312,43.04338322,44.1938388,44.22408597,43.78995184,42.19767368,40.18034037,28.8982027,29.06820748,29.545797,30.10880258,31.19664951,32.07622708,31.86665315,31.56895839,30.03283515,29.58728605,29.73197275,30.90352754,29.40926028,26.42332251,22.39001187,7.82698744,8.864674343,10.03367399,11.22948881,11.78672083,11.83559859,11.9609037,12.04030149,12.53708743,13.38788594,14.32686208,14.96226376,15.16029571,15.15422167,15.28872995,15.17532217,15.10909448,14.71543946,14.36177033,13.8721142,13.40832377,12.8829859,12.49850979,11.82771638,10.76838274,2.827514319,3.603410445,3.404477394,3.696756369,4.468582205,4.264553682,3.595353172,3.612201198,4.584549603,5.217785316,5.135372355,5.362696245,5.827975199,5.970889545,5.778847324,5.828182122,5.906509338,5.859034287,5.532719611,5.256361558,5.022666398,4.988447294,5.220789301,5.72605479,6.00798638,4.820399719,3.084297157,1.322807121,1.087547903,17.54008801,15.49898438,14.59697538,14.23708318,13.91531859,13.49101328,12.94344432,12.58490231,12.54138206,12.65727492,13.04869337,13.16204285,12.89657296,12.08368853,11.41025803,10.68260809,10.26824814,9.590756721,9.071585108,8.579381213,8.237374502,7.822443171,7.447530204,7.05486981,6.920953067,7.334985834,9.465919964,12.66450753,18.57167862,25.68613088,33.7698294,39.59516047,43.07750071,45.73913639,47.45531673,48.68488002,47.82170904,46.28717248,45.69271297,46.79776928,49.23468096,51.02577315,52.4091983,52.58816286,52.1513656,48.27828447,46.89748164,44.20206195,43.72978064,41.56145772,34.00004183,36.18250212
rice,97.8118517981736,5.0,400.0,6.408663772912531,210.10716189088427,28.787710059013,51.94511315131905,13.939697871033044,39.19355847,40.79661033,42.73179078,44.58583732,46.01113597,47.38833374,47.91121467,48.32950197,46.4330858,44.09665674,28.48980076,28.41719456,28.84059381,28.97483412,30.07742129,31.16956348,31.46353385,30.97826772,29.31517941,28.58892038,29.01337915,30.45641247,29.15484123,26.52455201,22.5527089,6.380835033,7.227257253,7.954890067,8.696054378,9.041104605,9.558970938,10.19605734,10.79078291,11.13282976,11.62581923,12.28241354,12.71861063,12.93658949,13.00358005,13.3198997,13.2624808,13.03451854,12.61418098,12.33084499,12.00367631,11.65501276,11.28637395,11.06881458,10.43482246,9.391863837,2.137780785,2.890355069,2.748026147,3.127777856,3.809199264,3.994872367,3.620764608,3.887849411,4.485886195,4.266894885,3.533413138,3.822073402,4.774676763,5.483035191,5.345847453,5.489717547,5.616730865,5.16176095,4.389731356,4.10882839,4.190969495,4.21692414,3.850822592,3.691828471,3.66417637,3.505167616,3.140694958,2.344013257,1.717202699,16.64818941,15.03134001,14.11079848,13.906287,13.65637424,13.22409252,12.69350067,12.46426748,12.67795044,12.97750047,13.3319055,13.49668534,13.22186222,12.37313392,11.60893903,10.78321675,10.42090402,9.765806043,9.236534731,8.651902348,8.230930985,7.728124162,7.280987878,6.758877791,6.569141868,6.993467289,9.564988062,13.21407775,19.47436187,26.88423216,35.52147909,42.36671355,45.55960909,48.4077252,49.9039597,51.98740154,51.53041566,49.97577789,48.92353689,49.2634749,51.79991539,54.03428255,55.86130363,56.10172464,56.07450631,51.91691536,50.20395229,47.84857239,47.81124785,45.79115246,35.04339169,37.45490003
rice,74.64348160933136,5.0,390.63149504225305,6.2330720935109145,208.48640625378744,30.537939828594183,56.61307756827619,7.520170325707911,32.75544104,33.70871222,34.84657729,36.15264811,37.44635591,38.30205441,38.29870617,38.58875434,37.11064979,35.04564141,27.38514597,27.56253948,28.07158816,28.28168703,29.01791831,29.83073301,30.03852535,29.72711508,28.47785524,27.65648687,27.91666017,28.85363438,27.57973063,25.1534873,21.68490104,10.0429945,10.88118788,11.73356241,12.34941864,12.52880672,12.5924239,13.14085982,13.78043821,14.3666052,14.87024104,15.59042431,16.20999706,16.67397582,16.87124559,16.95306487,16.72823425,16.60685047,16.42777368,16.19088887,15.79967757,15.27655989,14.59729846,13.82325457,13.19455637,12.45010049,3.902403697,4.302119183,4.607290574,4.726473999,5.291790678,5.456537897,5.778204488,6.46403622,7.098699804,7.235723773,6.993123657,7.376859859,7.954865482,8.27718191,8.187857415,8.400546468,8.395897225,7.826322977,6.871971542,6.185209124,5.834563865,5.663991408,5.21017029,5.245031085,5.339100313,5.78433142,5.64519496,5.039616202,4.173783724,17.6994692,15.69562175,14.78025756,14.84588693,14.6986707,14.29635202,13.90216339,13.72955864,14.01590645,14.32582611,15.03198303,15.46799282,15.40176179,14.581366,13.89794312,13.1581471,12.88234391,12.20930348,11.69267762,11.10669718,10.76057839,10.22247276,9.778318561,9.233285059,9.193186308,9.943752276,13.0142319,16.84267815,22.52466419,27.54176396,32.25741367,34.7312188,35.59118281,36.75883579,37.61467914,38.6903798,38.10110611,37.02489045,36.48692616,37.2285365,39.09585695,40.48857209,41.82118965,41.87125094,41.66497991,38.44174772,38.26892916,36.43408985,36.68426264,35.30650699,29.38033513,31.50320298
rice,81.40769678387352,5.0,372.29619942756574,6.3081560585924095,207.3481150818818,28.648929432234905,54.23705780745218,8.771269045538224,36.86005382,38.59603606,40.11689201,41.32672125,42.09496342,42.79659777,42.90027098,43.05448302,41.61251262,39.56666227,31.70607446,32.02394494,32.78398358,33.27408776,33.95565193,35.01607645,35.18286897,34.94955267,33.17871585,32.40348627,32.68648181,33.57403546,31.9062075,29.26001781,25.56221469,12.72150091,13.96202435,14.98255567,16.09547388,16.63932307,16.74855444,16.87760797,17.183274,17.9447412,18.68481158,19.74962276,20.16959312,20.55328445,20.72046087,21.3251033,21.26216455,21.18827666,20.60027985,20.35945762,19.87501473,19.45392564,18.81605881,18.23753402,17.20390847,15.94534797,5.85716311,7.350000661,7.855841696,8.829573812,9.960951174,10.19706225,9.810818735,9.845162785,10.43381228,10.67831029,10.56857547,10.45917809,10.18564776,9.909009393,9.90480914,10.69514188,11.21059395,10.51060821,8.937948838,7.63558013,7.432379438,8.143349616,8.610028952,8.361108577,7.31994366,6.602842072,6.21666238,6.655032898,7.260857583,18.82872811,17.08274654,16.03525804,15.75205538,15.50853843,15.2340288,15.07039539,14.8153947,15.04251335,15.2646584,15.91526752,16.27983647,16.07980211,15.26244311,14.66976505,14.03197289,13.79748424,13.2141162,12.86651055,12.46933741,12.22062178,11.78875017,11.53262686,11.25956156,11.28987866,11.93332261,14.05168147,17.16487945,22.85279706,29.16031885,35.10644518,38.8378572,41.19531764,43.32821987,44.46525832,44.87019026,43.63774254,42.38292333,41.90565697,43.34938613,45.32303489,46.7879788,47.85905352,47.80520895,46.66573294,43.19745988,42.15449308,40.79924802,40.57245321,39.00691326,34.44340864,35.91106566
rice,87.23213384836298,200.0,400.0,6.269845287964881,182.9653241307646,29.147136421477185,52.664535201485386,12.043227442715676,46.44923875,48.11148387,50.2960819,52.19122874,53.51016408,53.97627559,54.53787215,55.44645243,53.80818479,50.11663135,36.61128835,36.97651462,38.01276586,39.14224917,40.76988515,42.45026958,42.26495163,41.40797175,39.15415505,38.29927307,38.72879698,40.22065396,38.70500811,35.21009669,29.95911577,11.94952399,12.82957321,13.83960602,14.77575682,15.35460004,15.55815544,15.85763433,16.52262064,17.41723625,18.50217111,19.53886949,20.4107365,20.88572418,20.91283263,20.86760994,20.58069108,20.51918256,20.36862733,20.20052394,19.64548223,18.89974075,17.94013919,17.26851699,16.44638969,15.1620771,3.792383109,4.538261295,5.022422853,6.213567746,7.530381974,7.787036159,7.51753413,7.22349811,7.864266165,7.840956431,7.704920905,7.865033237,8.073701694,7.991097778,7.878443365,8.381955304,8.84859144,8.328161885,7.082987563,6.711612851,7.073857422,7.277203606,6.656552728,6.622624549,6.692793833,6.788358643,6.341197284,5.248108509,4.318360007,18.09387336,16.3246121,15.3692312,15.02804867,14.72645782,14.40203772,14.01076198,13.91150769,14.17092403,14.61375561,15.20970243,15.59778196,15.31144024,14.41097269,13.64305331,12.84762576,12.49771164,11.78534909,11.33883412,10.84793948,10.56003579,10.14748169,9.769299312,9.386646744,9.315290565,10.20437407,13.19202977,17.5703893,25.56507947,34.32828733,42.73914807,48.02127911,51.54965377,54.52496648,56.30727073,56.74565214,55.21037147,53.57785097,53.31070744,55.39035983,58.1271876,60.07361265,61.3470865,61.08249933,59.74407439,55.20580101,56.28245448,54.04402998,55.65771891,51.63183377,42.00760848,44.55594704
rice,96.5335078075447,5.0,400.0,6.200407210625744,203.9822704544173,25.81570288112516,55.61640129376782,12.796767709636816,39.56823543,40.82840686,41.81575467,43.05460608,43.86771192,44.75912204,44.38181984,44.45534706,42.95285786,40.85436263,32.62187061,32.84435974,33.84979647,34.50568211,35.89421307,37.13179918,37.52228092,37.17976407,35.21395475,34.03120856,34.16982936,35.70932744,34.49908371,31.86358551,27.48859139,12.70270603,13.9792055,14.94527035,15.72641216,15.96883457,16.13205432,16.54123262,17.28960193,18.28342727,19.02249714,19.74285313,20.26032558,20.88073714,21.3750263,21.56717096,21.47786841,21.15897758,20.6797428,20.07956909,19.43676076,18.90957847,18.29492587,17.68102495,16.71932523,15.45995203,3.97099593,5.242920632,5.811591698,6.876497154,7.804423368,8.176535337,7.885228817,8.212185126,9.039033963,8.894204913,8.081438171,8.360791054,9.423708122,9.826223268,9.227253404,9.768159838,10.64240955,10.24093994,8.477806567,7.282583994,7.437009264,7.566502172,7.089753404,6.446727594,5.933717605,5.812825687,5.204710006,4.871560874,4.069644268,17.59834533,15.92405405,14.51582694,14.36792001,13.95577203,13.5622309,13.00849648,12.86715777,12.93271407,13.17034469,13.61276821,13.87233706,13.46525845,12.48142313,11.61117683,10.8045075,10.30139585,9.550552645,9.030904953,8.559066807,8.167039759,7.690404172,7.238406266,6.818714655,6.667559759,7.293797597,10.20491502,14.62001054,22.464789,31.27955153,40.00593024,45.84876464,49.42932062,52.35044241,53.86888462,54.5321644,52.94874041,51.49189728,50.87823578,52.55007968,54.84357034,56.45220447,57.55839091,57.58243804,56.40340271,51.77812725,47.88092904,45.32930342,43.77643233,43.3511413,35.86129717,38.30755043
