Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1771701431,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1771701432,10,,Aggregated,0.000000,0.000000,5,5,9,10,11,11,11,11,11,11,11,10,10,5,5.830490000516875,1.888600003439933,10.665699999663047,0.0
1771701433,30,,Aggregated,0.000000,0.000000,4,5,6,7,9,10,11,11,11,11,11,21,21,4,4.627028571294865,1.2349999960861169,10.665699999663047,0.0
1771701434,40,,Aggregated,10.000000,10.000000,3,4,5,5,7,9,11,11,11,11,11,47,47,3,3.836885106562825,1.2349999960861169,10.665699999663047,0.0
1771701435,50,,Aggregated,10.500000,10.500000,4,5,5,5,7,10,13,14,14,14,14,71,71,4,4.274435211620687,1.2349999960861169,14.37420000002021,0.0
1771701436,60,,Aggregated,11.666667,11.666667,4,4,5,5,7,10,13,14,15,15,15,101,101,4,4.204333663527914,1.2349999960861169,15.100299999176059,0.0
1771701437,70,,Aggregated,14.500000,14.500000,3,4,5,5,6,9,13,14,15,15,15,133,133,3,3.9292233082495587,1.2349999960861169,15.100299999176059,0.0
1771701438,80,,Aggregated,17.000000,17.000000,3,4,4,5,6,9,13,14,15,15,15,173,173,3,3.8069520230022142,1.2349999960861169,15.100299999176059,0.0
1771701439,90,,Aggregated,19.833333,19.833333,3,4,5,5,6,9,13,14,24,24,24,223,223,3,4.024537219612435,1.2349999960861169,23.522300005424768,0.0
1771701440,100,,Aggregated,22.428571,22.428571,4,4,5,5,7,10,13,15,24,24,24,271,271,4,4.209011439004195,1.2349999960861169,23.522300005424768,0.0
1771701441,100,,Aggregated,24.250000,24.250000,4,4,5,5,7,10,14,15,24,24,24,320,320,4,4.174264375001258,1.2349999960861169,23.522300005424768,0.0
1771701442,100,,Aggregated,26.666667,26.666667,3,4,5,5,6,9,13,15,24,24,24,376,376,3,4.0283763298267585,1.2349999960861169,23.522300005424768,0.0
1771701443,100,,Aggregated,29.400000,29.400000,3,4,5,5,6,9,13,14,24,24,24,427,427,3,3.986725058508557,1.2349999960861169,23.522300005424768,0.0
1771701444,100,,Aggregated,32.600000,32.600000,3,4,5,5,6,8,11,14,24,24,24,485,485,3,3.95307319588928,1.2349999960861169,23.522300005424768,0.0
1771701445,100,,Aggregated,36.600000,36.600000,3,4,5,5,6,8,11,14,24,24,24,536,536,3,3.9222332088819942,1.2349999960861169,23.522300005424768,0.0
1771701446,100,,Aggregated,40.400000,40.400000,3,4,5,5,6,8,11,14,24,24,24,591,591,3,3.9293128595395523,1.2349999960861169,23.522300005424768,0.0
1771701447,100,,Aggregated,43.900000,43.900000,3,4,5,5,6,7,11,14,24,24,24,639,639,3,3.867134585235933,1.2349999960861169,23.522300005424768,0.0
1771701448,100,,Aggregated,46.000000,46.000000,3,4,5,5,6,7,11,14,24,24,24,689,689,3,3.852858345391528,1.2349999960861169,23.522300005424768,0.0
1771701449,100,,Aggregated,48.200000,48.200000,3,4,5,5,6,7,11,14,24,24,24,739,739,3,3.864347902566909,1.2349999960861169,23.522300005424768,0.0
1771701450,100,,Aggregated,48.800000,48.800000,3,4,5,5,6,7,11,14,24,24,24,787,787,3,3.8585921219834676,1.2349999960861169,23.522300005424768,0.0
1771701451,100,,Aggregated,50.300000,50.300000,4,4,5,5,6,7,10,13,24,24,24,841,841,4,3.8731206896456425,1.2349999960861169,23.522300005424768,0.0
1771701452,100,,Aggregated,50.800000,50.800000,3,4,5,5,6,7,10,13,24,24,24,886,886,3,3.837722460468971,1.2349999960861169,23.522300005424768,0.0
1771701453,100,,Aggregated,49.900000,49.900000,4,4,5,5,6,7,10,13,24,24,24,937,937,4,3.866228174977986,1.2349999960861169,23.522300005424768,0.0
1771701454,100,,Aggregated,51.300000,51.300000,4,4,5,5,6,7,10,13,24,24,24,990,990,4,3.8675553534980134,1.2112000040360726,23.522300005424768,0.0
1771701455,100,,Aggregated,50.800000,50.800000,4,4,5,5,6,7,9,13,19,24,24,1029,1029,4,3.88047016516143,1.2112000040360726,23.522300005424768,0.0
1771701456,100,,Aggregated,50.500000,50.500000,4,4,5,5,6,7,9,13,19,24,24,1084,1084,4,3.8913201106473485,1.2112000040360726,23.522300005424768,0.0
1771701457,100,,Aggregated,50.000000,50.000000,4,4,5,5,6,7,9,11,19,24,24,1139,1139,4,3.84414820006023,1.2112000040360726,23.522300005424768,0.0
1771701458,100,,Aggregated,49.000000,49.000000,4,4,5,5,6,7,9,11,19,24,24,1185,1185,4,3.847628101130077,1.2112000040360726,23.522300005424768,0.0
1771701459,100,,Aggregated,49.200000,49.200000,4,4,5,5,6,7,9,11,19,24,24,1235,1235,4,3.8659859917572934,1.2112000040360726,23.522300005424768,0.0
1771701460,100,,Aggregated,50.400000,50.400000,4,4,5,5,6,7,9,11,19,24,24,1284,1284,4,3.8716760123164606,1.2112000040360726,23.522300005424768,0.0
1771701461,100,,Aggregated,49.500000,49.500000,4,4,5,5,6,7,9,11,19,24,24,1340,1340,4,3.8807082088278007,1.2112000040360726,23.522300005424768,0.0
